"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20"
"104",6,20,0.311780336581045,0.943699731903485,3.49234068733221,3.91874850551872,3.44932208081275,2.13698703784798,2.75296435188325,1.95695576184669,1.82683604248665,1.74137044112291,1.1896724330286,1.60606871856058,0.736297413124365,1.11122791142537,2.97292806112269,2.42153290881167,1.96067439086856,1.65316909138522
"93",6,9,0.318866253321523,0.942408376963351,3.86619136321718,3.2514739783093,3.35912478428984,2.44877181996435,2.74458687543677,2.58661222048246,1.66395937491158,1.94385003624392,0.0987467997437912,2.72026878567761,2.02246929304297,1.15555926532951,1.48558776960354,1.74500782814542,0.580743747788002,0.634585868121734
"19",1,20,0.325066430469442,0.941025641025641,3.74553975627696,3.64787267120686,1.20917109844525,2.99179536945013,2.71516743878627,0.812302434926561,0.536345693458678,2.59439056725522,0.636333798780812,1.64638323765851,1.68404772851224,0.131391372145159,1.93088495256876,1.13026465373238,2.75719336509183,0.778437645340977
"59",4,6,0.306465899025686,0.937669376693767,3.0167803922928,3.87126627675871,2.56400647453006,3.38706108061374,0.986833140786031,1.62321493031105,1.66260682098129,0.846405694030471,3.55587815880528,3.84424628349137,2.10692159151027,2.77861230189954,1.69177094122733,2.86878210912227,1.99470404302017,1.60960226410816
"103",6,19,0.348095659875996,0.935714285714286,2.54168834592334,3.30903601284188,3.62512942732648,3.84051174785426,2.066880566044,1.35942262089051,1.18389262269636,2.95920598060323,1.96977994499454,0.316211988739221,1.51412228977889,0.611177492193395,1.0767262485384,1.31045013766555,2.98698460236625,0.0105567185789696
"5",1,6,0.319751992914083,0.928020565552699,3.55084404441088,3.49829235605288,2.91487087973944,1.99899443221349,2.66783240961516,1.71544968012039,0.221360821386228,1.43774129170764,3.79641734516829,3.50006698619398,3.86620060254174,1.84427989428868,1.58892015115775,2.72317133861871,1.98130563349723,1.75240977032811
"100",6,16,0.319751992914083,0.925641025641026,3.29413023152604,2.52668923497508,3.8585227387621,3.75045897903373,1.67655183003693,2.19425258007994,1.99841340483445,2.85879031405017,3.11711628609127,3.38929018073241,0.772263441018901,0.889000005555055,0.982167040390709,1.92722887685214,0.832218347023218,1.11045227838954
"95",6,11,0.316209034543844,0.924870466321244,3.29388732036418,3.54736483681388,2.74307921318689,2.37477148170369,1.89919791841512,2.83354121648852,1.53938035145526,1.79003269484721,1.04705768127757,0.468926755160673,3.01934109905728,3.00190437293238,1.78919417639941,2.35302862509563,2.06851739599285,2.81564683537336
"74",4,21,0.33215234720992,0.923645320197044,3.5329334782102,4.02304006393333,2.22327341864888,3.40182317729503,1.77502549098451,1.09879857472816,0.719932247831062,1.84367735806048,2.11545667749061,2.87706751536309,2.75010124008103,1.63800162231435,2.65514679211041,2.81697581996215,1.69868688965506,1.72449387958385
"47",3,11,0.310008857395926,0.923482849604222,3.79428318067838,3.41909238842902,3.87831226151306,1.72775689898332,2.90984604597065,3.26546418106893,1.50168571345788,0.230203496690054,0.0536662550750872,1.97310673918279,3.1147532318707,2.24563300413695,2.08103058844629,2.82943110939915,2.40382736199496,1.66929148321032
"94",6,10,0.307351638618246,0.922872340425532,3.94928912119721,3.80919386252233,3.02869079828782,2.31794568834366,2.68017558323983,2.85371266586788,1.69204053777428,1.77595333981124,1.29227370896716,2.70931603382621,2.45218848066072,0.72797173818712,2.82438245586809,2.77340838998853,0.816553729632657,2.4496383317837
"73",4,20,0.3348095659876,0.921951219512195,3.3990982323662,3.96621094119279,2.52827389102803,2.54794772400309,1.81818892123623,1.2184863330223,1.04852961174212,0.498888655887522,1.63449411244425,1.52271159674542,0.175034014393363,0.806095146366753,1.55628653051521,2.75190783373891,1.59545150567758,0.727464056330742
"20",1,21,0.310008857395926,0.921052631578947,3.46115706791206,3.92763602705934,2.19200375262496,3.74950542313352,3.05843889596102,1.78009915262046,0.621483423641438,1.32441643413297,0.281905094391774,2.71902732967229,2.9543019799083,0.616190028224786,2.15062154030129,2.727317104842,1.8342926825303,1.68026421061181
"3",1,4,0.319751992914083,0.920918367346939,2.29731798872147,3.82536643467785,1.97317672993107,3.52270432512472,1.46527283321801,2.4074121665448,2.04893131991164,0.624733732947836,2.64673790001445,3.9421871221493,3.67136899625958,2.36134060499385,0.914989691939451,1.90263479831362,0.511080043166644,1.93113438989889
"10",1,11,0.340124003542958,0.920863309352518,2.15182192412006,3.35981504633775,3.91235181954167,3.50745059341207,0.48730930158532,2.91338255363135,1.91417384147609,0.4486921094078,0.758452293854292,2.9981312492004,2.71246258619448,0.814284811607027,2.62132876609427,2.66853039227596,2.00040847357582,0.92882073678468
"8",1,9,0.309123117803366,0.920844327176781,3.84796244706779,2.57422383858901,3.74234911848783,3.01909267646329,2.9097797275528,1.98050536277249,0.89346101122119,1.23815944532548,1.38195331735321,1.88128378738348,2.44626524859298,2.75185359047426,0.945828107340967,1.72218908022799,1.41973029115766,0.569029979250069
"78",5,9,0.311780336581045,0.919060052219321,2.75339418167753,4.02195137349705,3.26097403795329,2.71382357497275,2.24576395511504,3.05789686773742,0.433015019287996,0.30608981987245,2.43416419360558,0.920671936233952,2.58289738244648,0.63376423347701,1.52540089202779,1.56844642769276,0.889351838379089,0.563843803631826
"64",4,11,0.318866253321523,0.918367346938776,2.97468412955796,3.68731703436539,2.75586232424971,2.73127683753771,0.472660157600006,1.48213891235016,1.5426003189074,0.227465441281383,1.067836168657,2.33750915885919,2.74973176078387,0.829724444343523,0.844330837511612,2.72515523430507,2.05290192899583,2.30467902850051
"89",5,20,0.325952170062002,0.917705735660848,2.20771069297644,3.80192079789513,3.56673903147084,3.18397269979243,0.994307968809773,2.81900142330019,0.443184885652629,2.90433631728273,1.09084266119078,1.69572791546733,1.61079872222644,0.490591299577575,2.69139444825074,2.47769640988994,0.156181452133325,1.09500061972567
"45",3,9,0.324180690876882,0.917293233082707,3.86067831936604,3.79900997638317,2.45768237316057,2.58528535866846,1.26018132080274,3.33898497026984,0.400887433828069,2.36599642813608,0.148916723446493,2.69454364081491,2.14437850099355,0.426875986643419,1.89369740186768,1.4407742116213,0.535948703871487,0.0837604799161852
"75",5,6,0.308237378210806,0.91578947368421,3.06043230286029,3.92359046860508,3.80769899049392,2.78972503331475,2.62647184154626,2.8969568772966,1.02883332859186,0.925764985893811,2.23903773761946,3.79730930318653,3.94696443657565,3.20398682758076,1.84322150916665,2.84615725694174,2.37314492161143,1.74686428378183
